Time (s),Speed (m/s),Acceleration (m/s^2),Elevation (m),Latitude,Longitude,Battery Voltage (V),Battery Current (A),Motor Temp (C),Brake Applied
0,0,0.0,10.0,12.9716,77.5946,54.0,0.2783132295748381,25.000278313229575,False
1,0,0.0,10.019999666668333,12.9716,77.5946,54.0,0.20350288287497623,25.00048181611245,False
2,0,0.0,10.039997333386665,12.9716,77.5946,54.0,-0.2054523141524725,25.000276363798296,False
3,0,0.0,10.059991000404992,12.9716,77.5946,54.0,-0.03594853075260905,25.000240415267545,False
4,0,0.0,10.079978668373268,12.9716,77.5946,54.0,-0.17241168281005204,25.000068003584733,False
5,0,0.0,10.099958338541356,12.9716,77.5946,54.0,-0.20295550041589336,24.99986504808432,False
6,0,0.0,10.119928012958889,12.9716,77.5946,54.0,-0.1998622585384806,24.99966518582578,False
7,0,0.0,10.139885694675066,12.9716,77.5946,54.0,0.009680059727236862,24.999674865885506,False
8,0,0.0,10.159829387938345,12.9716,77.5946,54.0,-0.38168642101470057,24.999293179464495,False
9,0,0.5,10.179757098396022,12.9716,77.5946,54.0,0.054344432071606955,24.999347523896564,False
10,1,0.5,10.199666833293657,12.97161,77.59461,53.9999,0.36307071616176695,24.999710594612726,False
11,1,0.0,10.21955660167435,12.97162,77.59462,53.9998,0.2002726174446107,24.99991086723017,False
12,1,0.0,10.239424414577838,12.971630000000001,77.59463,53.9997,0.1416185895664664,25.000052485819737,False
13,1,0.0,10.25926828523939,12.97164,77.59464,53.9996,-0.0866985414197558,24.999965787278317,False
14,1,0.0,10.279086229288472,12.97165,77.59465,53.9995,0.37775424951653547,25.000343541527833,False
15,1,0.0,10.298876264947198,12.97166,77.59466,53.9994,0.548692916552068,25.000892234444386,False
16,1,0.0,10.318636413228491,12.97167,77.59467,53.9993,0.28278269716200216,25.00117501714155,False
17,1,0.0,10.338364698133992,12.971680000000001,77.59468,53.9992,0.23897574589610668,25.001413992887443,False
18,1,0.0,10.358059146851648,12.97169,77.59469,53.9991,0.41475279621318184,25.001828745683657,False
19,1,0.5,10.377717789953001,12.9717,77.5947,53.999,0.4449458024564549,25.002273691486113,False
